"schoolid","schoolname","calendaryear","academicyear","jd1sectionsz","ftjd1sectionsz","ptjd1sectionsz","postjd1courses","courseseclt25","courseseclt50","courseseclt75","courseseclt100","coursesectgte100","totalsimpos","simposfilled","ftsimposfilled","ptsimposfilled","seminars","semposfilled","ftsemposfilled","ptsemposfilled","totalclinics","totalclinpos","clinposfilled","ftclinposfilled","ptclinposfilled","fieldposfilled","ftfieldposfilled","ptfieldposfilled","indstudy","ftindstudy","ptindstudy","lawjour","ftlawjour","ptlawjour","interskillscomp","ftinterskillscomp","ptinterskillscomp","cocurricularoffers","gradreqcredithrs","fyreqcourscredithrs","ulreqcourscredithrs"
"00202900","Tulane University","2019","2018","74","","","186","130","32","15","3","2","773","","","","22","","","","","145","","","","158","","","","","","","","","","","","38","88","",""
"00205400","University of Maine","2019","2018","82","","","87","66","9","4","0","0","180","","","","14","","","","","57","","","","64","","","","","","","","","","","","5","90","",""
"00210200","University of Baltimore","2019","2018","52","","","105","99","19","16","0","0","370","","","","19","","","","","248","","","","87","","","","","","","","","","","","21","87","",""
"00210400","University of Maryland","2019","2018","66","","","172","141","21","17","1","0","598","","","","51","","","","","194","","","","216","","","","","","","","","","","","16","85","",""
"00212801","Boston College","2019","2018","77","","","173","96","37","25","10","2","689","","","","56","","","","","217","","","","123","","","","","","","","","","","","3","85","",""
"00213007","Boston University","2019","2018","95","","","227","173","31","13","2","2","477","","","","57","","","","","212","","","","120","","","","","","","","","","","","15","85","",""
"00215510","Harvard University","2019","2018","80","","","383","227","80","39","17","12","1413","","","","117","","","","","559","","","","418","","","","","","","","","","","","0","89","",""
"00219900","Northeastern University","2019","2018","72","","","110","101","31","7","3","1","597","","","","23","","","","","383","","","","5","","","","","","","","","","","","11","87","",""
"00221007","University of Massachusetts Dartmouth","2019","2018","76","","","48","42","14","1","0","0","438","","","","7","","","","","56","","","","39","","","","","","","","","","","","4","90","",""
"00221810","Suffolk University","2019","2018","86","","","133","198","31","12","9","3","1325","","","","24","","","","","97","","","","62","","","","","","","","","","","","20","84","",""
